barrio;anuncios;plazas;habitantes;viviendas;ratioanuncios;ratioplazas;ratioanuncios100;ratioplazas100
Azpilagaña;12;43;7666;3267;0,003673095;0,005609183;0,4;0,6
Buztintxuri-Euntzetxiki;21;53;8038;4005;0,005243446;0,00659368;0,5;0,7
Casco Viejo/Alde Zaharra;245;1168;10854;6564;0,037324802;0,107610098;3,7;10,8
Chantrea/Txantrea;40;124;19828;8884;0,004502476;0,006253783;0,5;0,6
Ensanche/Zabalgunea;124;433;22449;10210;0,012144956;0,019288164;1,2;1,9
Ermitagaña-Mendebaldea;40;156;16921;7778;0,00514271;0,009219313;0,5;0,9
Etxabakoitz;14;46;5389;2453;0,005707297;0,008535906;0,6;0,9
Iturrama;40;173;22959;9707;0,004120738;0,007535171;0,4;0,8
Mendillorri;20;56;11197;4928;0,004058442;0,00500134;0,4;0,5
Milagrosa-Arrosadia;68;201;14880;8214;0,008278549;0,013508065;0,8;1,4
Rochapea/Arrotxapea;49;141;25560;11237;0,004360594;0,005516432;0,4;0,6
San Jorge-Sanduzelai;20;52;11750;5029;0,003976934;0,004425532;0,4;0,4
San Juan/Donibane;45;124;20339;8953;0,005026248;0,006096662;0,5;0,6